Assessment Name,Remote_Testing,adaptive,URL
Global Skills Development Report,1,0,https://www.shl.com//solutions/products/product-catalog/view/global-skills-development-report/
.NET Framework 4.5,1,1,https://www.shl.com//solutions/products/product-catalog/view/net-framework-4-5/
.NET MVC (New),1,0,https://www.shl.com//solutions/products/product-catalog/view/net-mvc-new/
.NET MVVM (New),1,0,https://www.shl.com//solutions/products/product-catalog/view/net-mvvm-new/
.NET WCF (New),1,0,https://www.shl.com//solutions/products/product-catalog/view/net-wcf-new/
.NET WPF (New),1,0,https://www.shl.com//solutions/products/product-catalog/view/net-wpf-new/
.NET XAML (New),1,0,https://www.shl.com//solutions/products/product-catalog/view/net-xaml-new/
Accounts Payable (New),1,0,https://www.shl.com//solutions/products/product-catalog/view/accounts-payable-new/
Accounts Payable Simulation (New),1,0,https://www.shl.com//solutions/products/product-catalog/view/accounts-payable-simulation-new/
Accounts Receivable (New),1,0,https://www.shl.com//solutions/products/product-catalog/view/accounts-receivable-new/
Accounts Receivable Simulation (New),1,0,https://www.shl.com//solutions/products/product-catalog/view/accounts-receivable-simulation-new/
ADO.NET (New),1,0,https://www.shl.com//solutions/products/product-catalog/view/ado-net-new/
Global Skills Development Report,1,0,https://www.shl.com//solutions/products/product-catalog/view/global-skills-development-report/
.NET Framework 4.5,1,1,https://www.shl.com//solutions/products/product-catalog/view/net-framework-4-5/
.NET MVC (New),1,0,https://www.shl.com//solutions/products/product-catalog/view/net-mvc-new/
.NET MVVM (New),1,0,https://www.shl.com//solutions/products/product-catalog/view/net-mvvm-new/
.NET WCF (New),1,0,https://www.shl.com//solutions/products/product-catalog/view/net-wcf-new/
.NET WPF (New),1,0,https://www.shl.com//solutions/products/product-catalog/view/net-wpf-new/
.NET XAML (New),1,0,https://www.shl.com//solutions/products/product-catalog/view/net-xaml-new/
Accounts Payable (New),1,0,https://www.shl.com//solutions/products/product-catalog/view/accounts-payable-new/
Accounts Payable Simulation (New),1,0,https://www.shl.com//solutions/products/product-catalog/view/accounts-payable-simulation-new/
Accounts Receivable (New),1,0,https://www.shl.com//solutions/products/product-catalog/view/accounts-receivable-new/
Accounts Receivable Simulation (New),1,0,https://www.shl.com//solutions/products/product-catalog/view/accounts-receivable-simulation-new/
ADO.NET (New),1,0,https://www.shl.com//solutions/products/product-catalog/view/ado-net-new/
Global Skills Development Report,1,0,https://www.shl.com//solutions/products/product-catalog/view/global-skills-development-report/
.NET Framework 4.5,1,1,https://www.shl.com//solutions/products/product-catalog/view/net-framework-4-5/
.NET MVC (New),1,0,https://www.shl.com//solutions/products/product-catalog/view/net-mvc-new/
.NET MVVM (New),1,0,https://www.shl.com//solutions/products/product-catalog/view/net-mvvm-new/
.NET WCF (New),1,0,https://www.shl.com//solutions/products/product-catalog/view/net-wcf-new/
.NET WPF (New),1,0,https://www.shl.com//solutions/products/product-catalog/view/net-wpf-new/
.NET XAML (New),1,0,https://www.shl.com//solutions/products/product-catalog/view/net-xaml-new/
Accounts Payable (New),1,0,https://www.shl.com//solutions/products/product-catalog/view/accounts-payable-new/
Accounts Payable Simulation (New),1,0,https://www.shl.com//solutions/products/product-catalog/view/accounts-payable-simulation-new/
Accounts Receivable (New),1,0,https://www.shl.com//solutions/products/product-catalog/view/accounts-receivable-new/
Accounts Receivable Simulation (New),1,0,https://www.shl.com//solutions/products/product-catalog/view/accounts-receivable-simulation-new/
ADO.NET (New),1,0,https://www.shl.com//solutions/products/product-catalog/view/ado-net-new/
Global Skills Development Report,1,0,https://www.shl.com//solutions/products/product-catalog/view/global-skills-development-report/
.NET Framework 4.5,1,1,https://www.shl.com//solutions/products/product-catalog/view/net-framework-4-5/
.NET MVC (New),1,0,https://www.shl.com//solutions/products/product-catalog/view/net-mvc-new/
.NET MVVM (New),1,0,https://www.shl.com//solutions/products/product-catalog/view/net-mvvm-new/
.NET WCF (New),1,0,https://www.shl.com//solutions/products/product-catalog/view/net-wcf-new/
.NET WPF (New),1,0,https://www.shl.com//solutions/products/product-catalog/view/net-wpf-new/
.NET XAML (New),1,0,https://www.shl.com//solutions/products/product-catalog/view/net-xaml-new/
Accounts Payable (New),1,0,https://www.shl.com//solutions/products/product-catalog/view/accounts-payable-new/
Accounts Payable Simulation (New),1,0,https://www.shl.com//solutions/products/product-catalog/view/accounts-payable-simulation-new/
Accounts Receivable (New),1,0,https://www.shl.com//solutions/products/product-catalog/view/accounts-receivable-new/
Accounts Receivable Simulation (New),1,0,https://www.shl.com//solutions/products/product-catalog/view/accounts-receivable-simulation-new/
ADO.NET (New),1,0,https://www.shl.com//solutions/products/product-catalog/view/ado-net-new/
Global Skills Development Report,1,0,https://www.shl.com//solutions/products/product-catalog/view/global-skills-development-report/
.NET Framework 4.5,1,1,https://www.shl.com//solutions/products/product-catalog/view/net-framework-4-5/
.NET MVC (New),1,0,https://www.shl.com//solutions/products/product-catalog/view/net-mvc-new/
.NET MVVM (New),1,0,https://www.shl.com//solutions/products/product-catalog/view/net-mvvm-new/
.NET WCF (New),1,0,https://www.shl.com//solutions/products/product-catalog/view/net-wcf-new/
.NET WPF (New),1,0,https://www.shl.com//solutions/products/product-catalog/view/net-wpf-new/
